,file_name,recall_0.1,recall_0.25,recall_0.5,recall_0.75,recall_0.9,wss_0.95,erf_0.1,atd
0,metrics_sim_Radjenovic_2013_ndup_nnan_1395.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8669825689625994,0.8723404255319149,160.29787234042553
1,metrics_sim_Radjenovic_2013_ndup_nnan_1405.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8707057031646641,0.8723404255319149,170.87234042553192
2,metrics_sim_Radjenovic_2013_ndup_nnan_1888.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8666441022169572,0.8723404255319149,165.68085106382978
3,metrics_sim_Radjenovic_2013_ndup_nnan_1891.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8656287019800305,0.8723404255319149,140.9787234042553
4,metrics_sim_Radjenovic_2013_ndup_nnan_1959.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8615671010323236,0.8723404255319149,167.2340425531915
5,metrics_sim_Radjenovic_2013_ndup_nnan_2010.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8679979691995261,0.8723404255319149,143.85106382978722
6,metrics_sim_Radjenovic_2013_ndup_nnan_2255.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8666441022169572,0.8723404255319149,166.27659574468086
7,metrics_sim_Radjenovic_2013_ndup_nnan_2312.json,1.0,1.0,1.0,1.0,1.0,0.8693518361820951,0.8936170212765957,163.72340425531914
8,metrics_sim_Radjenovic_2013_ndup_nnan_2377.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8598747673041124,0.8723404255319149,168.82978723404256
9,metrics_sim_Radjenovic_2013_ndup_nnan_2398.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8737519038754442,0.8723404255319149,186.25531914893617
10,metrics_sim_Radjenovic_2013_ndup_nnan_2475.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8666441022169572,0.8723404255319149,165.48936170212767
11,metrics_sim_Radjenovic_2013_ndup_nnan_2640.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8656287019800305,0.8723404255319149,140.9787234042553
12,metrics_sim_Radjenovic_2013_ndup_nnan_2768.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8779827381959723,0.8723404255319149,176.46808510638297
13,metrics_sim_Radjenovic_2013_ndup_nnan_3142.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.869182602809274,0.8723404255319149,166.6595744680851
14,metrics_sim_Radjenovic_2013_ndup_nnan_3186.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8707057031646641,0.8723404255319149,163.91489361702128
15,metrics_sim_Radjenovic_2013_ndup_nnan_3230.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8683364359451684,0.8723404255319149,176.72340425531914
16,metrics_sim_Radjenovic_2013_ndup_nnan_3376.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8696903029277373,0.8723404255319149,152.7872340425532
17,metrics_sim_Radjenovic_2013_ndup_nnan_3529.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8685056693179896,0.8723404255319149,163.6595744680851
18,metrics_sim_Radjenovic_2013_ndup_nnan_3621.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8696903029277373,0.8723404255319149,152.63829787234042
19,metrics_sim_Radjenovic_2013_ndup_nnan_3932.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8710441699103063,0.8723404255319149,169.25531914893617
20,metrics_sim_Radjenovic_2013_ndup_nnan_400.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8598747673041124,0.8723404255319149,168.80851063829786
21,metrics_sim_Radjenovic_2013_ndup_nnan_4056.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8666441022169572,0.8723404255319149,165.59574468085106
22,metrics_sim_Radjenovic_2013_ndup_nnan_4241.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8656287019800305,0.8723404255319149,140.9787234042553
23,metrics_sim_Radjenovic_2013_ndup_nnan_4421.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.85649009984769,0.8723404255319149,159.95744680851064
24,metrics_sim_Radjenovic_2013_ndup_nnan_4592.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8679979691995261,0.8723404255319149,143.85106382978722
25,metrics_sim_Radjenovic_2013_ndup_nnan_4597.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8641056016246403,0.8723404255319149,144.51063829787233
26,metrics_sim_Radjenovic_2013_ndup_nnan_466.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8693518361820951,0.8723404255319149,142.14893617021278
27,metrics_sim_Radjenovic_2013_ndup_nnan_4826.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8701980030462008,0.8723404255319149,156.04255319148936
28,metrics_sim_Radjenovic_2013_ndup_nnan_4842.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8679979691995261,0.8723404255319149,143.89361702127658
29,metrics_sim_Radjenovic_2013_ndup_nnan_490.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8612286342866813,0.8723404255319149,166.36170212765958
30,metrics_sim_Radjenovic_2013_ndup_nnan_4924.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8622440345236081,0.8723404255319149,164.53191489361703
31,metrics_sim_Radjenovic_2013_ndup_nnan_4990.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8666441022169572,0.8723404255319149,165.59574468085106
32,metrics_sim_Radjenovic_2013_ndup_nnan_5034.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8666441022169572,0.8723404255319149,164.59574468085106
33,metrics_sim_Radjenovic_2013_ndup_nnan_5147.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8617363344051447,0.8723404255319149,147.31914893617022
34,metrics_sim_Radjenovic_2013_ndup_nnan_5332.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8646133017431037,0.8723404255319149,141.93617021276594
35,metrics_sim_Radjenovic_2013_ndup_nnan_5386.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8659671687256727,0.8723404255319149,170.59574468085106
36,metrics_sim_Radjenovic_2013_ndup_nnan_542.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8612286342866813,0.8723404255319149,166.25531914893617
37,metrics_sim_Radjenovic_2013_ndup_nnan_5492.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8617363344051447,0.8723404255319149,139.5531914893617
38,metrics_sim_Radjenovic_2013_ndup_nnan_5655.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8688441360636318,0.8723404255319149,145.6595744680851
39,metrics_sim_Radjenovic_2013_ndup_nnan_5746.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8598747673041124,0.8723404255319149,168.82978723404256
40,metrics_sim_Radjenovic_2013_ndup_nnan_5791.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.869182602809274,0.8723404255319149,160.91489361702128
41,metrics_sim_Radjenovic_2013_ndup_nnan_588.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8615671010323236,0.8723404255319149,167.27659574468086
42,metrics_sim_Radjenovic_2013_ndup_nnan_624.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8678287358267051,0.8723404255319149,142.06382978723406
43,metrics_sim_Radjenovic_2013_ndup_nnan_733.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8737519038754442,0.8723404255319149,169.53191489361703
44,metrics_sim_Radjenovic_2013_ndup_nnan_734.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8612286342866813,0.8723404255319149,166.25531914893617
45,metrics_sim_Radjenovic_2013_ndup_nnan_753.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8715518700287697,0.8723404255319149,140.0
46,metrics_sim_Radjenovic_2013_ndup_nnan_758.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8729057370113387,0.8723404255319149,143.74468085106383
47,metrics_sim_Radjenovic_2013_ndup_nnan_88.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8666441022169572,0.8723404255319149,164.7872340425532
